State_Name,District_Name,Crop,Year,Area,Production
Maharashtra,Kolhapur,Onion,2017,25913.63,31652.23
Punjab,Amritsar,Sunflower,2011,46236.9,54372.97
Punjab,Sangrur,Barley,2014,29086.82,71333.15
Gujarat,Bharuch,Banana,2021,21785.58,61093.81
Uttar Pradesh,Kanpur,Chickpea,2015,7705.23,16400.08
Andhra Pradesh,Anantapur,Onion,2011,41318.32,152182.5
Rajasthan,Jaipur,Barley,2011,48282.96,187450.8
Himachal Pradesh,Shimla,Barley,2018,27987.28,70296.52
Uttar Pradesh,Agra,Rice,2015,14075.05,49136.5
Karnataka,Bangalore,Tomato,2018,16268.33,38174.54
Karnataka,Bangalore,Coconut,2015,39280.06,35622.55
Gujarat,Ahmedabad,Groundnut,2018,38133.25,111836.36
Karnataka,Raichur,Coffee,2012,47106.25,145591.69
West Bengal,Hooghly,Wheat,2021,31510.16,110085.16
Tamil Nadu,Chennai,Banana,2023,13965.91,19798.89
Karnataka,Bangalore,Tomato,2017,39755.46,48908.43
Andhra Pradesh,Guntur,Groundnut,2012,19407.17,55763.67
Bihar,Patna,Lentil,2023,3574.84,11190.36
Maharashtra,Pune,Rice,2016,18674.99,80310.82
Telangana,Karimnagar,Mango,2017,1176.12,5021.95
Telangana,Karimnagar,Cotton,2019,857.1,2366.64
Himachal Pradesh,Shimla,Maize,2022,24899.03,80900.85
West Bengal,Murshidabad,Potato,2014,16680.17,18653.0
Assam,Dibrugarh,Jute,2019,39888.02,82051.29
Andhra Pradesh,Guntur,Groundnut,2011,38048.26,93469.8
Karnataka,Mysore,Coffee,2023,1426.94,6120.02
Tamil Nadu,Madurai,Coconut,2010,33193.24,129599.06
Uttar Pradesh,Agra,Wheat,2016,15017.73,54385.23
Bihar,Gaya,Onion,2015,19416.23,21038.65
West Bengal,Burdwan,Potato,2016,32088.16,80200.57
Gujarat,Bharuch,Banana,2014,3325.76,5055.27
Andhra Pradesh,East Godavari,Chickpea,2023,28952.29,50568.22
Odisha,Ganjam,Jute,2022,12328.84,32614.01
Odisha,Cuttack,Rice,2010,15208.36,20608.58
Bihar,Nalanda,Potato,2019,13281.12,21555.77
Tamil Nadu,Salem,Groundnut,2013,25703.87,99381.63
Haryana,Rohtak,Sunflower,2016,38855.37,48812.52
Uttar Pradesh,Agra,Maize,2017,4311.67,15473.18
Uttar Pradesh,Varanasi,Potato,2011,33188.24,149070.1
Telangana,Warangal,Chickpea,2012,39316.45,156484.97
Gujarat,Rajkot,Cotton,2014,23076.85,87493.91
Andhra Pradesh,East Godavari,Cotton,2019,43245.2,38298.12
