N,P,K,temperature,humidity,ph,rainfall,label
78,47,40,18.63,43.67,6.7,86.36,wheat
97,13,45,23.46,93.65,6.37,11.36,muskmelon
28,73,91,24.81,14.98,7.2,83.55,chickpea
23,17,10,27.67,99.64,7.68,102.16,orange
110,20,32,25.73,59.03,6.07,158.36,coffee
102,21,51,27.47,90.22,6.5,61.97,watermelon
113,73,60,26.62,84.25,5.11,148.38,banana
65,43,54,26.56,64.68,6.0,62.76,tomato
12,66,21,20.53,35.25,6.35,49.36,lentil
23,15,40,25.85,95.76,5.29,200.62,coconut
112,80,44,29.36,78.5,5.51,96.56,banana
37,60,93,15.43,14.22,7.08,56.97,chickpea
22,27,25,25.23,53.45,5.89,90.73,mango
20,54,15,28.29,58.83,5.85,125.28,pigeonpeas
23,125,203,22.11,89.83,4.91,95.11,apple
19,46,20,23.63,19.0,6.01,132.77,kidneybeans
12,48,23,22.92,89.1,6.83,59.54,mungbean
57,51,63,25.72,42.97,6.98,54.7,onion
54,53,43,15.62,67.09,6.42,79.82,barley
138,62,20,26.99,80.22,6.58,102.15,cotton
17,115,196,21.52,94.55,6.38,119.08,apple
33,60,21,26.47,70.57,6.29,64.22,blackgram
26,125,216,20.56,83.62,5.23,77.04,grapes
46,54,18,32.31,61.84,7.0,73.99,blackgram
88,20,59,25.45,83.98,6.84,66.86,watermelon
88,15,33,26.99,60.14,7.74,176.48,coffee
23,74,15,21.26,43.15,6.85,37.36,lentil
99,26,44,31.59,87.31,6.54,47.19,watermelon
17,11,49,28.39,100.0,6.28,164.25,coconut
21,122,192,17.9,89.64,6.97,121.03,apple
65,44,47,25.84,69.61,6.14,68.65,potato
27,137,188,23.87,95.38,5.95,140.03,apple
113,11,63,27.22,92.11,5.97,18.83,muskmelon
20,116,197,19.4,94.72,6.2,108.95,apple
15,52,22,18.67,17.73,5.48,130.48,kidneybeans
67,51,31,26.83,78.93,7.04,217.24,jute
29,125,188,29.07,75.55,5.85,78.29,grapes
10,5,48,22.05,91.5,6.77,40.56,pomegranate
118,43,15,24.81,91.31,6.8,73.5,cotton
40,67,20,36.17,56.37,6.79,68.73,blackgram
23,120,204,25.75,83.94,5.49,58.99,grapes
86,22,42,25.05,91.66,6.57,26.31,muskmelon
94,19,52,27.49,93.91,5.99,29.88,muskmelon
53,69,50,39.03,99.2,7.01,130.15,papaya
67,25,30,27.69,49.64,6.15,71.69,sunflower
25,133,194,20.56,90.22,5.99,74.26,apple
42,49,48,31.12,91.84,7.08,169.91,papaya
9,61,20,19.75,26.96,6.17,124.47,kidneybeans
64,49,64,23.66,80.98,6.01,75.17,tomato
91,26,25,24.35,57.48,6.32,174.45,coffee
15,13,27,27.04,88.87,5.34,195.25,coconut
89,13,43,25.81,90.55,6.5,31.93,muskmelon
99,19,26,26.07,47.61,6.89,171.76,coffee
55,51,39,19.74,60.96,6.41,123.93,wheat
12,13,7,26.35,88.46,6.97,122.57,orange
27,13,47,19.15,85.42,6.57,43.35,pomegranate
96,11,30,24.88,95.34,6.24,23.65,muskmelon
95,22,59,21.52,89.32,6.61,48.98,watermelon
26,37,30,33.53,51.61,6.07,98.21,mango
26,12,12,25.49,87.09,6.63,107.75,orange
89,23,47,24.69,89.87,6.52,58.95,watermelon
41,67,83,10.4,20.41,7.05,71.66,chickpea
34,70,78,11.29,10.0,6.76,81.87,chickpea
19,13,40,26.2,91.86,6.19,35.03,pomegranate
25,21,12,28.81,90.97,6.75,98.32,orange
24,132,194,25.91,79.04,6.64,73.86,grapes
15,53,21,27.52,80.41,6.54,34.35,mungbean
67,59,49,14.32,64.78,7.08,94.05,wheat
49,29,34,28.35,45.93,6.6,69.07,sunflower
16,35,22,24.34,33.86,4.3,146.28,pigeonpeas
106,27,51,25.23,83.18,6.47,58.23,watermelon
60,49,31,17.32,61.23,7.18,105.12,barley
27,16,5,26.52,88.51,7.56,97.66,orange
17,32,24,33.04,46.93,5.42,138.79,mango
18,7,39,26.18,88.66,6.98,31.94,pomegranate
23,53,25,20.43,18.64,6.13,133.4,kidneybeans
51,44,38,23.1,52.09,6.84,73.95,tomato
34,72,63,16.25,16.84,6.64,60.95,chickpea
45,62,53,36.1,93.38,6.8,137.28,papaya
21,74,17,21.22,54.41,7.02,41.74,lentil
104,18,46,31.91,93.76,6.2,55.71,watermelon
42,51,45,19.49,59.08,6.58,68.9,onion
111,15,48,34.51,96.33,5.73,28.1,muskmelon
53,59,48,35.45,90.76,6.46,162.2,papaya
15,26,27,29.04,55.93,6.07,118.14,mango
72,58,47,17.61,64.14,5.78,105.81,potato
110,30,31,22.68,85.68,6.7,103.07,cotton
28,9,30,27.68,100.0,6.67,197.53,coconut
25,8,44,19.51,95.95,6.1,31.18,pomegranate
100,17,43,28.87,85.21,6.14,38.96,watermelon
23,45,22,19.3,25.54,6.19,144.12,kidneybeans
38,48,23,33.38,53.32,7.39,61.89,blackgram
22,46,16,28.88,53.16,6.96,45.03,mothbeans
25,129,198,21.67,91.65,6.44,119.13,apple
96,28,39,23.03,87.25,6.16,47.32,watermelon
8,9,9,26.72,93.47,7.19,104.25,orange
50,49,39,27.36,94.45,7.13,166.87,papaya
11,24,26,31.76,44.91,6.17,95.68,mango
81,42,32,24.17,62.39,7.06,84.01,maize
16,67,17,28.56,62.07,6.36,140.17,pigeonpeas
23,64,14,31.17,45.29,5.44,126.44,pigeonpeas
56,43,52,34.66,97.01,6.19,181.14,papaya
82,12,45,27.99,91.56,6.35,28.26,muskmelon
17,23,33,27.39,54.52,6.14,86.81,mango
24,12,38,28.77,94.52,5.44,221.69,coconut
98,19,17,28.85,62.29,6.08,189.31,coffee
26,58,13,28.38,45.96,6.63,61.93,mothbeans
52,53,46,24.26,55.39,5.46,78.18,tomato
76,70,38,15.61,48.97,6.51,99.34,wheat
34,45,16,26.71,47.46,6.72,57.4,mothbeans
31,75,90,20.09,18.42,6.6,62.3,chickpea
70,42,41,13.33,62.65,7.13,60.13,wheat
76,48,26,19.02,49.52,7.32,50.45,barley
76,55,36,19.74,62.77,5.8,106.14,maize
11,66,19,28.44,45.82,7.85,157.2,pigeonpeas
21,14,29,24.58,86.71,6.93,35.25,pomegranate
109,20,46,29.14,90.48,6.2,61.55,watermelon
59,44,52,13.04,69.79,5.76,92.2,potato
50,63,46,16.15,83.02,6.44,82.54,potato
16,68,20,21.44,47.85,5.88,45.67,lentil
22,9,30,24.9,92.73,6.86,38.18,pomegranate
75,56,40,20.77,78.42,6.84,198.09,rice
19,67,24,29.58,48.47,5.88,140.2,pigeonpeas
74,45,26,19.45,88.83,7.32,212.53,rice
47,57,44,34.41,91.03,7.0,117.55,papaya
39,81,69,13.81,14.08,7.42,52.21,chickpea
16,14,9,25.24,99.57,7.15,79.46,orange
27,136,203,28.98,84.88,5.85,70.37,grapes
17,9,37,26.56,93.79,5.88,34.67,pomegranate
38,55,48,35.52,88.98,6.49,160.21,papaya
14,16,12,27.52,93.72,6.8,120.72,orange
67,69,43,18.82,63.4,6.07,73.54,potato
112,40,26,20.19,76.66,6.78,79.76,cotton
89,43,29,24.32,94.22,6.95,187.36,jute
24,6,39,22.9,87.61,6.06,38.65,pomegranate
94,7,29,25.03,65.79,7.51,152.4,coffee
22,40,16,28.31,73.43,7.17,54.42,mungbean
115,44,24,25.35,77.92,6.95,75.21,cotton
60,35,40,25.77,44.13,6.06,57.24,sunflower
24,119,181,20.98,78.38,6.18,67.04,grapes
62,49,45,23.16,71.19,5.72,80.21,potato
55,33,45,15.86,61.64,6.48,70.03,sunflower
104,38,29,22.43,89.6,6.5,64.2,cotton
115,51,27,26.4,84.61,7.37,88.27,cotton
21,9,7,22.56,90.01,6.45,113.05,orange
22,134,225,24.99,91.76,6.34,118.66,apple
85,57,45,25.95,80.42,6.88,196.82,rice
59,62,44,35.2,97.12,7.17,160.95,papaya
50,52,50,25.06,60.48,6.73,67.56,onion
17,13,8,27.62,91.08,6.28,109.28,orange
66,66,64,32.11,94.11,7.34,132.07,papaya
61,38,50,22.73,85.32,7.68,192.64,jute
70,62,33,25.65,75.65,6.7,83.53,maize
75,39,38,27.91,80.5,6.55,141.68,jute
17,10,48,23.37,87.59,7.88,40.79,pomegranate
78,51,31,21.05,69.31,6.8,87.91,maize
80,29,33,25.03,83.38,6.27,146.12,jute
17,10,36,26.3,88.24,5.91,176.1,coconut
44,60,50,34.79,87.64,6.84,121.47,papaya
77,50,37,15.78,51.39,7.08,68.63,barley
106,68,42,25.99,81.2,6.59,59.05,banana
100,20,33,25.08,46.34,7.07,119.94,coffee
23,13,26,27.81,94.79,6.21,163.64,coconut
79,46,34,22.27,85.78,6.75,190.67,rice
51,51,54,16.6,57.42,6.03,59.64,potato
54,26,64,24.74,67.61,6.04,53.37,onion
40,45,15,23.99,46.66,6.28,60.14,groundnut
79,31,39,20.09,85.35,6.68,191.8,rice
20,71,14,21.18,17.99,5.55,107.95,kidneybeans
50,49,36,20.37,58.38,7.12,46.62,sunflower
22,17,29,28.53,48.38,6.29,104.58,mango
80,53,38,24.97,81.35,6.55,237.85,rice
21,109,205,25.29,84.78,5.89,70.7,grapes
23,132,179,32.39,87.95,5.9,70.95,grapes
53,60,94,20.33,19.77,7.09,71.27,chickpea
102,79,56,26.01,81.42,6.39,123.31,banana
26,47,16,13.14,18.09,6.18,113.79,kidneybeans
82,64,45,23.02,88.01,6.3,158.86,rice
53,64,54,33.75,91.04,6.87,173.14,papaya
16,12,10,24.28,91.18,7.54,133.07,orange
34,55,21,26.26,61.58,6.59,69.36,groundnut
23,56,16,18.57,21.78,6.47,90.99,kidneybeans
100,3,47,29.35,93.06,6.76,21.9,muskmelon
28,11,43,26.2,88.12,5.76,42.0,pomegranate
54,76,83,19.11,18.97,6.23,70.82,chickpea
116,37,17,23.51,82.01,7.38,73.04,cotton
105,20,31,25.22,55.13,6.48,165.47,coffee
73,48,32,26.36,67.29,6.35,99.33,maize
51,72,44,16.46,71.06,6.88,57.07,potato
101,22,40,31.82,87.32,7.25,21.71,muskmelon
69,61,40,18.45,57.09,6.78,106.16,wheat
47,63,85,17.43,18.62,6.54,76.28,chickpea
21,57,21,21.32,26.17,6.44,121.17,kidneybeans
77,46,47,17.5,43.81,7.15,48.5,barley
56,33,51,17.37,54.65,7.22,87.89,wheat
18,55,22,26.76,46.6,6.7,53.6,mothbeans
46,49,45,33.35,73.4,6.52,68.88,tomato
19,18,12,25.37,88.73,6.43,111.6,orange
15,54,12,29.94,79.5,7.0,51.61,mungbean
42,56,18,30.86,58.02,6.86,61.4,blackgram
34,57,22,37.5,63.63,6.44,74.02,blackgram
25,58,23,26.91,48.37,5.96,50.81,mothbeans
85,46,38,27.3,86.13,6.91,259.16,rice
43,48,34,25.49,45.04,6.85,52.83,sunflower
60,54,40,14.54,49.59,7.01,63.69,barley
90,16,55,29.53,92.79,6.77,22.11,muskmelon
98,7,51,29.05,92.4,5.21,14.87,muskmelon
54,58,43,14.74,34.17,7.08,86.55,barley
85,37,43,23.04,85.29,7.12,118.11,jute
29,62,21,27.96,57.29,7.59,74.91,blackgram
43,69,18,27.59,53.69,6.57,64.62,groundnut
105,20,37,26.74,55.14,6.21,142.41,coffee
16,72,22,23.21,40.4,5.64,58.58,lentil
16,10,10,24.67,91.41,7.56,118.24,orange
91,45,33,31.72,82.3,6.51,219.28,rice
54,50,60,38.29,89.83,6.88,162.85,papaya
68,50,38,20.89,77.68,6.58,72.6,wheat
74,70,31,13.57,44.94,6.91,87.0,barley
31,11,13,23.82,88.74,7.04,119.74,orange
18,65,12,23.54,27.26,5.85,116.6,kidneybeans
87,67,48,24.97,81.69,5.91,100.21,banana
35,67,22,26.46,46.66,5.97,74.87,groundnut
26,15,37,27.88,97.71,5.56,199.41,coconut
19,63,12,21.04,70.09,5.88,49.68,lentil
21,29,27,32.7,42.58,6.44,90.49,mango
70,41,38,26.2,60.22,6.76,58.59,sunflower
61,63,29,21.48,66.32,6.18,69.24,potato
81,41,29,25.72,89.63,7.26,193.37,jute
19,123,218,19.56,92.54,6.11,129.47,apple
27,141,216,21.62,93.93,5.81,96.15,apple
32,136,188,21.27,85.37,5.88,55.74,grapes
111,44,22,26.01,75.28,6.6,66.25,cotton
67,46,56,20.99,52.52,7.35,78.74,onion
82,35,38,26.84,89.27,6.34,149.38,jute
26,26,34,31.32,63.33,5.46,90.79,mango
26,52,22,34.55,51.05,6.31,45.0,mothbeans
29,134,201,23.99,90.36,5.29,120.84,apple
52,74,72,13.21,15.36,6.91,82.44,chickpea
7,48,17,23.29,37.47,5.3,55.71,lentil
20,13,12,25.71,92.17,7.62,119.93,orange
35,44,41,24.15,50.15,6.7,57.27,tomato
17,83,22,27.11,28.98,5.92,124.52,kidneybeans
60,46,56,30.2,97.66,6.18,173.05,papaya
32,61,18,16.47,24.34,6.69,116.29,kidneybeans
25,7,36,19.81,82.74,6.57,49.35,pomegranate
67,36,38,28.11,88.7,7.26,196.4,jute
88,20,51,28.66,97.13,5.95,49.48,watermelon
41,40,33,23.08,61.18,6.91,64.89,sunflower
31,62,17,19.81,53.17,6.93,62.84,lentil
19,64,25,23.09,14.96,6.02,132.76,kidneybeans
28,55,28,32.95,36.8,6.79,47.94,mothbeans
37,83,85,17.59,14.4,6.86,81.42,chickpea
52,30,47,19.9,57.95,6.69,57.11,onion
79,59,40,21.42,89.62,6.77,188.88,rice
14,24,5,27.85,93.29,6.53,108.14,orange
